"species","longitude","latitude","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"Tapirus terrestris",-42.622687,-22.419466,17.8142604827881,9.94618701934814,58.0375633239746,235.780380249023,25.820499420166,8.68299961090088,17.1375007629395,20.5025424957275,14.8510417938232,20.6853332519531,14.8510417938232,1404,239,30,65.5711364746094,644,98,587,98
"Tapirus terrestris",-60.394408,-18.994563,25.5286560058594,12.2434797286987,63.4648399353027,239.532775878906,34.1915016174316,14.8997497558594,19.2917518615723,27.5906257629395,22.5322074890137,27.7465000152588,22.0567092895508,787,110,18,53.1629028320312,321,69,312,95
"Tapirus terrestris",-64.86082,-23.782602,18.7635841369629,11.9594993591309,51.4237785339355,396.936340332031,29.0895004272461,5.83274984359741,23.2567501068115,22.2859172821045,15.2124996185303,23.0035419464111,13.4809999465942,815,166,6,91.5799255371094,460,24,458,28
"Tapirus terrestris",-52.22893,-22.51013,22.0117816925049,11.5792713165283,63.0481796264648,256.246704101562,30.1299991607666,11.7642498016357,18.3657493591309,24.7115421295166,19.9816246032715,24.7115421295166,18.4958324432373,1176,161,40,42.7704620361328,434,143,434,198
"Tapirus terrestris",-73.56889,1.69583,25.9572925567627,9.29262542724609,76.4714889526367,76.6111145019531,32.3095016479492,20.157751083374,12.1517505645752,25.2954998016357,26.6442909240723,26.9169998168945,24.9217510223389,2417,316,38,47.0820274353027,904,203,251,855
"Tapirus terrestris",-73.63957,1.72117,25.9572925567627,9.29262542724609,76.4714889526367,76.6111145019531,32.3095016479492,20.157751083374,12.1517505645752,25.2954998016357,26.6442909240723,26.9169998168945,24.9217510223389,2417,316,38,47.0820274353027,904,203,251,855
"Tapirus terrestris",-73.64066,1.70642,25.9572925567627,9.29262542724609,76.4714889526367,76.6111145019531,32.3095016479492,20.157751083374,12.1517505645752,25.2954998016357,26.6442909240723,26.9169998168945,24.9217510223389,2417,316,38,47.0820274353027,904,203,251,855
"Tapirus terrestris",-73.514056,1.676222,25.9572925567627,9.29262542724609,76.4714889526367,76.6111145019531,32.3095016479492,20.157751083374,12.1517505645752,25.2954998016357,26.6442909240723,26.9169998168945,24.9217510223389,2417,316,38,47.0820274353027,904,203,251,855
"Tapirus terrestris",-73.62329,1.70448,25.9572925567627,9.29262542724609,76.4714889526367,76.6111145019531,32.3095016479492,20.157751083374,12.1517505645752,25.2954998016357,26.6442909240723,26.9169998168945,24.9217510223389,2417,316,38,47.0820274353027,904,203,251,855
"Tapirus terrestris",-73.663472,1.7125,25.9572925567627,9.29262542724609,76.4714889526367,76.6111145019531,32.3095016479492,20.157751083374,12.1517505645752,25.2954998016357,26.6442909240723,26.9169998168945,24.9217510223389,2417,316,38,47.0820274353027,904,203,251,855
"Tapirus terrestris",-73.66425,1.711694,25.9572925567627,9.29262542724609,76.4714889526367,76.6111145019531,32.3095016479492,20.157751083374,12.1517505645752,25.2954998016357,26.6442909240723,26.9169998168945,24.9217510223389,2417,316,38,47.0820274353027,904,203,251,855
"Tapirus terrestris",-73.681833,1.742833,25.8453330993652,9.53458309173584,77.0595932006836,76.1293563842773,32.3544998168945,19.9815006256104,12.3729991912842,25.1448745727539,26.5419578552246,26.7899589538574,24.8112907409668,2477,321,43,45.9222259521484,934,220,283,873
"Tapirus terrestris",-73.621667,1.684694,25.9572925567627,9.29262542724609,76.4714889526367,76.6111145019531,32.3095016479492,20.157751083374,12.1517505645752,25.2954998016357,26.6442909240723,26.9169998168945,24.9217510223389,2417,316,38,47.0820274353027,904,203,251,855
"Tapirus terrestris",-73.639999,1.693214,25.9572925567627,9.29262542724609,76.4714889526367,76.6111145019531,32.3095016479492,20.157751083374,12.1517505645752,25.2954998016357,26.6442909240723,26.9169998168945,24.9217510223389,2417,316,38,47.0820274353027,904,203,251,855
"Tapirus terrestris",-73.656611,1.724139,25.9572925567627,9.29262542724609,76.4714889526367,76.6111145019531,32.3095016479492,20.157751083374,12.1517505645752,25.2954998016357,26.6442909240723,26.9169998168945,24.9217510223389,2417,316,38,47.0820274353027,904,203,251,855
"Tapirus terrestris",-73.664333,1.750056,25.9572925567627,9.29262542724609,76.4714889526367,76.6111145019531,32.3095016479492,20.157751083374,12.1517505645752,25.2954998016357,26.6442909240723,26.9169998168945,24.9217510223389,2417,316,38,47.0820274353027,904,203,251,855
"Tapirus terrestris",-73.72545,1.75875,25.8453330993652,9.53458309173584,77.0595932006836,76.1293563842773,32.3544998168945,19.9815006256104,12.3729991912842,25.1448745727539,26.5419578552246,26.7899589538574,24.8112907409668,2477,321,43,45.9222259521484,934,220,283,873
"Tapirus terrestris",-73.73221,1.72113,25.8453330993652,9.53458309173584,77.0595932006836,76.1293563842773,32.3544998168945,19.9815006256104,12.3729991912842,25.1448745727539,26.5419578552246,26.7899589538574,24.8112907409668,2477,321,43,45.9222259521484,934,220,283,873
"Tapirus terrestris",-73.674111,1.74425,25.8453330993652,9.53458309173584,77.0595932006836,76.1293563842773,32.3544998168945,19.9815006256104,12.3729991912842,25.1448745727539,26.5419578552246,26.7899589538574,24.8112907409668,2477,321,43,45.9222259521484,934,220,283,873
"Tapirus terrestris",-73.647417,1.701217,25.9572925567627,9.29262542724609,76.4714889526367,76.6111145019531,32.3095016479492,20.157751083374,12.1517505645752,25.2954998016357,26.6442909240723,26.9169998168945,24.9217510223389,2417,316,38,47.0820274353027,904,203,251,855
"Tapirus terrestris",-73.653528,1.711278,25.9572925567627,9.29262542724609,76.4714889526367,76.6111145019531,32.3095016479492,20.157751083374,12.1517505645752,25.2954998016357,26.6442909240723,26.9169998168945,24.9217510223389,2417,316,38,47.0820274353027,904,203,251,855
"Tapirus terrestris",-73.66774,1.73409,25.8453330993652,9.53458309173584,77.0595932006836,76.1293563842773,32.3544998168945,19.9815006256104,12.3729991912842,25.1448745727539,26.5419578552246,26.7899589538574,24.8112907409668,2477,321,43,45.9222259521484,934,220,283,873
