"","longitude","latitude","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"background",-72.75,-0.916666666666664,25.902551651001,8.95943832397461,84.0689392089844,60.8152351379395,31.153751373291,20.4965000152588,10.6572513580322,25.7085838317871,26.4029998779297,26.4659595489502,25.0187072753906,2707,293,153,21.7325630187988,836,480,559,773
"background",-66.9166666666667,-17.5833333333333,7.13314580917358,17.8389167785645,67.5556640625,242.494201660156,18.7862491607666,-7.61999988555908,26.40625,9.2435417175293,3.82116675376892,9.50512504577637,3.80637502670288,608,135,8,85.7722702026367,344,31,284,33
"background",-86.5833333333333,13.0833333333333,24.2332916259766,10.1747493743896,73.2760848999023,82.1259536743164,31.5192489624023,17.6337509155273,13.885498046875,24.1406669616699,23.3722095489502,25.3137912750244,23.2151260375977,1379,300,3,98.8805999755859,730,13,237,66
"background",-73.0833333333333,-48.5833333333333,2.29554152488708,7.89599990844727,46.7108345031738,351.654571533203,11.3712501525879,-5.53275012969971,16.9039993286133,4.84120798110962,0.264874964952469,6.48058319091797,-2.15754175186157,1178,123,75,12.9769430160522,345,256,292,286
"background",-71.25,-54.25,4.63307189941406,5.96101999282837,46.6651458740234,255.385452270508,11.5644779205322,-1.20955228805542,12.7740306854248,6.45238780975342,3.12228846549988,7.76631832122803,1.44452738761902,1250,122,86,11.8405704498291,356,262,343,289
"background",-50.75,-8.41666666666666,25.2113342285156,12.0245418548584,71.8076095581055,39.8161697387695,34.033748626709,17.2882499694824,16.7454986572266,24.8522491455078,25.2051658630371,25.7832489013672,24.8522491455078,1938,289,10,68.5602340698242,831,52,322,831
"background",-60.5833333333333,-38.25,13.9274063110352,12.4356460571289,46.5584487915039,516.659912109375,28.7945003509521,2.0847499370575,26.7097511291504,19.9230422973633,7.73162460327148,20.408166885376,7.73162460327148,805,93,34,31.1354026794434,257,111,247,111
"background",-78.0833333333333,-4.08333333333333,23.2954692840576,10.2570629119873,88.1228790283203,29.6874542236328,29.3050003051758,17.6655006408691,11.6394996643066,23.2607078552246,23.4126243591309,23.6367492675781,22.8742084503174,2052,220,126,16.5040321350098,629,412,487,559
"background",-67.25,-7.75,25.5805206298828,10.6566667556763,78.4905853271484,54.1498947143555,31.9654998779297,18.388500213623,13.5769996643066,25.7813339233398,24.8138332366943,26.0890426635742,24.8138332366943,2164,304,42,56.6161270141602,864,138,512,138
"background",-70.5833333333333,-33.5833333333333,14.9597606658936,13.6002702713013,50.8402328491211,480.082946777344,29.5209999084473,2.76999998092651,26.7509994506836,9.65704154968262,20.8596668243408,20.8596668243408,9.02495861053467,503,109,3,97.2542266845703,298,14,14,295
